time,open,high,low,close,tick_volume,spread,real_volume
1708534800,2027.39,2029.67,2026.57,2029.67,2832,16,0
1708535700,2029.47,2030.24,2028.44,2029.2,2805,16,0
1708536600,2029.2,2029.31,2027.56,2028.05,2699,16,0
1708537500,2028.05,2028.15,2024.04,2024.23,3084,16,0
1708538400,2024.27,2025.02,2023.1,2024.57,2936,16,0
1708539300,2024.58,2025.9,2023.37,2024.36,2433,16,0
1708540200,2024.45,2025.23,2023.89,2025.19,1979,16,0
1708541100,2025.17,2025.92,2023.52,2023.81,1839,16,0
1708542000,2023.83,2024.16,2022.3,2022.73,2281,18,0
1708542900,2022.72,2023.34,2021.37,2022.6,2249,18,0
1708543800,2022.84,2023.11,2021.83,2022.68,1685,18,0
1708544700,2022.78,2024.61,2022.56,2024.19,1932,18,0
1708545600,2024.21,2024.55,2021.43,2023.42,2915,18,0
1708546500,2023.43,2024.71,2022.94,2023.2,2173,18,0
1708547400,2023.16,2023.74,2022.25,2022.96,1950,18,0
1708548300,2022.97,2023.07,2021.42,2021.81,1807,18,0
1708549200,2021.66,2026.15,2020.05,2025.32,3375,18,0
1708550100,2025.31,2025.63,2023.59,2024.8,2381,18,0
1708551000,2024.79,2026.6,2024.51,2025.15,2002,18,0
1708551900,2025.16,2026.35,2024.99,2025.98,1721,18,0
1708552800,2025.95,2027.08,2025.38,2025.64,2106,18,0
1708553700,2025.75,2025.75,2023.99,2025.36,1672,18,0
1708554600,2025.33,2026.11,2025.06,2025.81,1426,18,0
1708555500,2025.82,2026.0,2024.26,2024.45,1239,18,0
1708556400,2024.45,2025.16,2024.08,2024.38,578,29,0
1708557300,2024.38,2024.71,2023.78,2024.14,782,29,0
1708558200,2024.16,2025.98,2023.89,2025.53,813,29,0
1708559100,2025.56,2025.83,2024.89,2025.64,436,29,0
1708563600,2026.22,2026.74,2026.0,2026.35,292,20,0
1708564500,2026.3,2026.41,2025.65,2025.9,304,20,0
1708565400,2025.9,2026.04,2025.0,2025.47,376,20,0
1708566300,2025.47,2026.19,2025.34,2025.72,338,20,0
1708567200,2025.73,2025.76,2024.97,2025.49,408,20,0
1708568100,2025.51,2026.18,2025.2,2025.65,432,20,0
1708569000,2025.65,2026.56,2025.52,2026.36,432,20,0
1708569900,2026.43,2026.75,2025.77,2026.4,598,20,0
1708570800,2026.43,2027.68,2026.09,2026.55,958,20,0
1708571700,2026.58,2027.9,2026.58,2027.37,613,20,0
1708572600,2027.33,2028.54,2027.12,2027.62,867,20,0
1708573500,2027.63,2028.55,2026.61,2026.96,820,20,0
1708574400,2026.96,2028.29,2026.38,2027.16,872,20,0
1708575300,2027.25,2027.75,2026.42,2026.9,664,20,0
1708576200,2026.88,2027.22,2026.45,2027.08,419,20,0
1708577100,2027.08,2028.38,2026.98,2027.72,611,20,0
1708578000,2027.69,2028.3,2027.02,2027.17,467,19,0
1708578900,2027.17,2027.32,2026.62,2026.77,499,20,0
1708579800,2026.76,2026.99,2026.24,2026.68,397,20,0
1708580700,2026.61,2026.77,2026.02,2026.21,392,20,0
1708581600,2026.31,2026.7,2025.35,2026.53,591,20,0
1708582500,2026.54,2027.54,2026.25,2027.34,584,20,0
1708583400,2027.19,2028.75,2027.19,2028.63,865,20,0
1708584300,2028.6,2028.95,2028.24,2028.79,743,20,0
1708585200,2028.83,2030.01,2028.51,2029.68,1041,20,0
1708586100,2029.58,2030.05,2028.43,2029.03,1123,20,0
1708587000,2029.01,2029.1,2028.31,2028.85,815,20,0
1708587900,2028.85,2029.48,2028.11,2028.39,764,20,0
1708588800,2028.4,2030.21,2028.2,2029.97,1046,20,0
1708589700,2029.94,2030.16,2029.54,2029.71,866,20,0
